date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:50:07	20/20	---M-Z	200	added ('OK')	text/plain	etag:%22ca79df-0-54a6985fa9473%22	http://copy.sh/robots.txt		(from )
15:50:08	9653/9653	---M-Z	200	added ('OK')	text/html	etag:%22ca0299-25b5-5a24e2cd7fd85%22	http://copy.sh/v86/	C:/My%20Web%20Sites/http___copy.sh_v86_abgadfgafgasdfgsdfgsdfgsdfgsdfgsdfgs/copy.sh/v86/index.html	(from )
15:50:08	1818/1818	---M-Z	200	added ('OK')	text/css	etag:%22ca009a-71a-5710ffaa32fc0%22	http://copy.sh/v86/v86.css	C:/My%20Web%20Sites/http___copy.sh_v86_abgadfgafgasdfgsdfgsdfgsdfgsdfgsdfgs/copy.sh/v86/v86.css	(from http://copy.sh/v86/)
15:50:09	9456/9456	---M-Z	200	added ('OK')	text/html	etag:%22ca0458-24f0-5710ffaa32fc0%22	http://copy.sh/v86/debug.html	C:/My%20Web%20Sites/http___copy.sh_v86_abgadfgafgasdfgsdfgsdfgsdfgsdfgsdfgs/copy.sh/v86/debug.html	(from http://copy.sh/v86/)
15:50:09	1745/1745	---M-Z	200	added ('OK')	text/html	etag:%22ca4c69-6d1-4efa7736ddf80%22	http://copy.sh/v86/screenshots/	C:/My%20Web%20Sites/http___copy.sh_v86_abgadfgafgasdfgsdfgsdfgsdfgsdfgsdfgs/copy.sh/v86/screenshots/index.html	(from http://copy.sh/v86/)
15:50:11	270465/270465	---MCZ	200	added ('OK')	text/javascript	etag:%22ca01fe-42081-5710ffb78cf40%22	http://copy.sh/v86/build/v86_all.js	C:/My%20Web%20Sites/http___copy.sh_v86_abgadfgafgasdfgsdfgsdfgsdfgsdfgsdfgs/copy.sh/v86/build/v86_all.js	(from http://copy.sh/v86/)
15:50:12	1490/1490	---M-Z	200	added ('OK')	text/javascript	etag:%22ca003c-5d2-5710ffaa32fc0%22	http://copy.sh/v86/loader.js	C:/My%20Web%20Sites/http___copy.sh_v86_abgadfgafgasdfgsdfgsdfgsdfgsdfgsdfgs/copy.sh/v86/loader.js	(from http://copy.sh/v86/debug.html)
15:50:14	39752/39752	---M--	200	added ('OK')	image/png	etag:%22ca4c6e-9b48-4efa773e7f180%22	http://copy.sh/v86/screenshots/images/freedos.png	C:/My%20Web%20Sites/http___copy.sh_v86_abgadfgafgasdfgsdfgsdfgsdfgsdfgsdfgs/copy.sh/v86/screenshots/images/freedos.png	(from http://copy.sh/v86/screenshots/)
15:50:14	8082/8082	---M--	200	added ('OK')	image/png	etag:%22ca4c7e-1f92-4efa773d8af40%22	http://copy.sh/v86/screenshots/thumbs/freedos_thumb.png	C:/My%20Web%20Sites/http___copy.sh_v86_abgadfgafgasdfgsdfgsdfgsdfgsdfgsdfgs/copy.sh/v86/screenshots/thumbs/freedos_thumb.png	(from http://copy.sh/v86/screenshots/)
15:50:14	5172/5172	---M--	200	added ('OK')	image/png	etag:%22ca4c7f-1434-4efa773aae880%22	http://copy.sh/v86/screenshots/thumbs/haiku_shell_thumb.png	C:/My%20Web%20Sites/http___copy.sh_v86_abgadfgafgasdfgsdfgsdfgsdfgsdfgsdfgs/copy.sh/v86/screenshots/thumbs/haiku_shell_thumb.png	(from http://copy.sh/v86/screenshots/)
